sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HGDP00948	male			Yakut		East Asia 
NA20506	female	SAME124362	TSI	Toscani	EUR	European Ancestry
HGDP00072	male			Balochi		Central South Asia 
HGDP00950	male			Yakut		East Asia 
NA20513	male	SAME124561	TSI	Toscani	EUR	European Ancestry
HGDP00096	male			Balochi		Central South Asia 
HGDP00900	male			Russian		Europe 
NA20518	male	SAME123178	TSI	Toscani	EUR	European Ancestry
HGDP00015	male			Brahui		Central South Asia 
HGDP00905	male			Mandenka		Africa 
NA20520	male	SAME124019	TSI	Toscani	EUR	European Ancestry
HGDP00039	male			Brahui		Central South Asia 
HGDP00912	male			Mandenka		Africa 
NA20525	male	SAME124015	TSI	Toscani	EUR	European Ancestry
HGDP00041	male			Brahui		Central South Asia 
HGDP00917	female			Mandenka		Africa 
NA20532	male	SAME124171	TSI	Toscani	EUR	European Ancestry
HGDP00546	male			Papuan		Oceania 
HGDP00924	female			Yoruba		Africa 
NA20537	male	SAME124168	TSI	Toscani	EUR	European Ancestry
HGDP00553	male			Papuan		Oceania 
HGDP00955	female			Yakut		East Asia 
NA20544	male	SAME125146	TSI	Toscani	EUR	European Ancestry
HGDP00558	female			Druze		Middle East 
HGDP00962	male			Yakut		East Asia 
NA20582	female	SAME123474	TSI	Toscani	EUR	European Ancestry
HGDP00560	female			Druze		Middle East 
HGDP00967	female			Yakut		East Asia 
NA20587	female	SAME123481	TSI	Toscani	EUR	European Ancestry
HGDP00565	female			Druze		Middle East 
HGDP00974	female			Han		East Asia 
NA20753	female	SAME124178	TSI	Toscani	EUR	European Ancestry
HGDP00522	male			French		Europe 
HGDP00873	female			Maya		America 
NA20758	male	SAME125117	TSI	Toscani	EUR	European Ancestry
HGDP00527	female			French		Europe 
HGDP00880	male			Russian		Europe 
NA20760	female	SAME124364	TSI	Toscani	EUR	European Ancestry
HGDP00534	female			French		Europe 
HGDP00885	female			Russian		Europe 
NA20765	male	SAME124367	TSI	Toscani	EUR	European Ancestry
HGDP00539	female			French		Europe 
HGDP00892	male			Russian		Europe 
NA20772	female	SAME124574	TSI	Toscani	EUR	European Ancestry
HGDP00541	male			Papuan		Oceania 
HGDP00897	male			Russian		Europe 
NA20796	male	SAME123819	TSI	Toscani	EUR	European Ancestry
HGDP00712	female			Cambodian		East Asia 
HGDP00772	female			Japanese		East Asia 
NA20804	female	SAME125224	TSI	Toscani	EUR	European Ancestry
HGDP00724	male			Palestinian		Middle East 
HGDP00777	male			Han		East Asia 
NA20809	male	SAME125359	TSI	Toscani	EUR	European Ancestry
HGDP00729	male			Palestinian		Middle East 
HGDP00784	female			Han		East Asia 
NA20811	male	SAME123069	TSI	Toscani	EUR	European Ancestry
HGDP00731	male			Palestinian		Middle East 
HGDP00791	male			Japanese		East Asia 
NA20816	male	SAME125186	TSI	Toscani	EUR	European Ancestry
HGDP00654	male			Bedouin		Middle East 
HGDP00804	male			Orcadian		Europe 
NA19763	female	SAME123896	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00661	female			Bougainville		Oceania 
HGDP00811	female			Han		East Asia 
NA19770	female	SAME124068	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00666	male			Sardinian		Europe 
HGDP01059	male			Pima		America 
NA19775	female	SAME124065	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00673	female			Sardinian		Europe 
HGDP01066	male			Sardinian		Europe 
NA19782	female	SAME123145	MXL	Mexican Ancestry	AMR	American Ancestry
